spec_label,scale,family,link,formula,n,aic,dev_expl,resid_skew,resid_kurtosis,fitted_on
tweedie-log,log,Tweedie(p=1.99),log,"wis ~ Epi_target + s(Method, bs = ""re"") + s(CountryTargets, bs = ""re"") +      s(Incidence) + s(Trend, bs = ""re"") + s(Location, bs = ""re"") +      s(VariantPhase, bs = ""re"") + s(Horizon, by = Model, k = 3,      bs = ""sz"") + s(Model, bs = ""re"")",207713,-103072.004819446,0.38007819340237,0.57917415910616,9.22170793637798,2026-07-28
tweedie-log,natural,Tweedie(p=1.99),log,"wis ~ Epi_target + s(Method, bs = ""re"") + s(CountryTargets, bs = ""re"") +      s(Incidence) + s(Trend, bs = ""re"") + s(Location, bs = ""re"") +      s(VariantPhase, bs = ""re"") + s(Horizon, by = Model, k = 3,      bs = ""sz"") + s(Model, bs = ""re"")",207713,1544350.87312651,0.645351609661281,4.59696577231419,123.232938667622,2026-07-28
tweedie-method-target,log,Tweedie(p=1.99),log,"wis ~ Epi_target + s(Method, bs = ""re"") + s(Method, Epi_target,      bs = ""re"") + s(CountryTargets, bs = ""re"") + s(Incidence) +      s(Trend, bs = ""re"") + s(Location, bs = ""re"") + s(VariantPhase,      bs = ""re"") + s(Horizon, by = Model, k = 3, bs = ""sz"") + s(Model,      bs = ""re"")",207713,-103164.520013035,0.380280602432921,0.581897105112031,9.29222258327104,2026-07-28
tweedie-method-target,natural,Tweedie(p=1.99),log,"wis ~ Epi_target + s(Method, bs = ""re"") + s(Method, Epi_target,      bs = ""re"") + s(CountryTargets, bs = ""re"") + s(Incidence) +      s(Trend, bs = ""re"") + s(Location, bs = ""re"") + s(VariantPhase,      bs = ""re"") + s(Horizon, by = Model, k = 3, bs = ""sz"") + s(Model,      bs = ""re"")",207713,1527627.40542105,0.654861396439814,4.37771553803236,112.277192229009,2026-07-28
tweedie-interaction-only,log,Tweedie(p=1.99),log,"wis ~ Epi_target + s(Method, Epi_target, bs = ""re"") + s(CountryTargets,      bs = ""re"") + s(Incidence) + s(Trend, bs = ""re"") + s(Location,      bs = ""re"") + s(VariantPhase, bs = ""re"") + s(Horizon, by = Model,      k = 3, bs = ""sz"") + s(Model, bs = ""re"")",207713,-103164.546433654,0.38028057294108,0.581897311091335,9.29222365027936,2026-07-28
tweedie-interaction-only,natural,Tweedie(p=1.99),log,"wis ~ Epi_target + s(Method, Epi_target, bs = ""re"") + s(CountryTargets,      bs = ""re"") + s(Incidence) + s(Trend, bs = ""re"") + s(Location,      bs = ""re"") + s(VariantPhase, bs = ""re"") + s(Horizon, by = Model,      k = 3, bs = ""sz"") + s(Model, bs = ""re"")",207713,1527627.48057802,0.6548613964408,4.37771562977344,112.277195185627,2026-07-28
primary-interaction,log,Tweedie(p=1.931),log,"wis ~ Epi_target + s(Method, Epi_target, bs = ""re"") + s(CountryTargets,      bs = ""re"") + s(Incidence) + s(Trend, bs = ""re"") + s(Location,      bs = ""re"") + s(VariantPhase, bs = ""re"") + s(Horizon, by = Model,      k = 3, bs = ""sz"") + s(Model, bs = ""re"")",207713,-130494.447724164,0.38246515888689,0.570866510367901,9.97967535158999,2026-08-19
primary-interaction,natural,Tweedie(p=1.99),log,"wis ~ Epi_target + s(Method, Epi_target, bs = ""re"") + s(CountryTargets,      bs = ""re"") + s(Incidence) + s(Trend, bs = ""re"") + s(Location,      bs = ""re"") + s(VariantPhase, bs = ""re"") + s(Horizon, by = Model,      k = 3, bs = ""sz"") + s(Model, bs = ""re"")",207713,1552917.13185259,0.619415693767114,1.83546995150276,91.3369056158512,2026-08-19
family-gaussian-log,log,gaussian,log,"wis ~ Epi_target + s(Method, Epi_target, bs = ""re"") + s(CountryTargets,      bs = ""re"") + s(Incidence) + s(Trend, bs = ""re"") + s(Location,      bs = ""re"") + s(VariantPhase, bs = ""re"") + s(Horizon, by = Model,      k = 3, bs = ""sz"") + s(Model, bs = ""re"")",207713,262955.410422084,0.28561352276995,5.84706230993898,77.6133740545706,2026-08-19
family-gamma-log,log,Gamma,log,"wis ~ Epi_target + s(Method, Epi_target, bs = ""re"") + s(CountryTargets,      bs = ""re"") + s(Incidence) + s(Trend, bs = ""re"") + s(Location,      bs = ""re"") + s(VariantPhase, bs = ""re"") + s(Horizon, by = Model,      k = 3, bs = ""sz"") + s(Model, bs = ""re"")",207713,-103418.097752131,0.378243082902538,0.521878084577003,9.46226491900791,2026-08-19
family-tweedie-log,log,Tweedie(p=1.931),log,"wis ~ Epi_target + s(Method, Epi_target, bs = ""re"") + s(CountryTargets,      bs = ""re"") + s(Incidence) + s(Trend, bs = ""re"") + s(Location,      bs = ""re"") + s(VariantPhase, bs = ""re"") + s(Horizon, by = Model,      k = 3, bs = ""sz"") + s(Model, bs = ""re"")",207713,-130494.590117984,0.382469184482212,0.570855100109521,9.97969196280252,2026-08-19
family-tweedie-offset,log,Tweedie(p=1.99),log,"wis ~ Epi_target + s(Method, Epi_target, bs = ""re"") + s(CountryTargets,      bs = ""re"") + s(Incidence) + s(Trend, bs = ""re"") + s(Location,      bs = ""re"") + s(VariantPhase, bs = ""re"") + s(Horizon, by = Model,      k = 3, bs = ""sz"") + s(Model, bs = ""re"")",207713,-103164.587964809,0.380280592260806,0.581897349073418,9.29222356568575,2026-08-19
