country,date,lower_20,lower_50,lower_90,mean,median,sd,upper_20,upper_50,upper_90
Austria,2020-11-15,0.977215138751879,0.954472290249852,0.920088810133616,1.01358076680598,0.996104961592351,0.0788855533860847,1.01868945741636,1.05866468232942,1.16402604264611
Austria,2020-11-16,0.966527085369481,0.9459096280474425,0.918212122867536,1.0016038704121106,0.9848562336366005,0.072781323765977,1.0058283020055554,1.0441096678134651,1.139778662830805
Austria,2020-11-17,0.956796296507448,0.936998185658458,0.915740479178426,0.990414751506561,0.974068278188331,0.0673415435476835,0.995022963164466,1.03147262468219,1.11659751422905
Austria,2020-11-18,0.945878484234776,0.9310636567346224,0.9124260112855505,0.9742158064727819,0.958494240791328,0.057522934992126656,0.9738585358734385,1.0052002766591055,1.085308101820875
Austria,2020-11-19,0.934570331988619,0.924812495311378,0.90971920700108,0.958764980761483,0.942931957723854,0.048646855559561,0.953841434088926,0.981400071248271,1.05651273985897
Austria,2020-11-20,0.9303445364178755,0.9227536005861214,0.9082217992979156,0.950253965794202,0.937148803332743,0.043473716416323804,0.9460103122623964,0.9675397720605066,1.036932148916255
Austria,2020-11-21,0.926023139377192,0.920500061650734,0.906393040029549,0.941966428209005,0.930860972216369,0.0396112944138162,0.937972465815942,0.95450069184504,1.02080647032214
Austria,2020-11-22,0.924475103600165,0.9193027620552421,0.90524772571623,0.940013850256623,0.9289815129999635,0.039298271741135954,0.935362555194975,0.9516029259407595,1.0137064577564652
Austria,2020-11-23,0.922824193471016,0.918123315153666,0.903868724127845,0.938183655634646,0.927228930769803,0.0383262327755193,0.932800592519366,0.948128080291057,1.00680482960342
Austria,2020-11-24,0.920677711593527,0.9158862619668925,0.899608997664227,0.9341606791950661,0.924351330816806,0.03653509249495125,0.9288784009288444,0.947330844384364,1.0039719475541649
Austria,2020-11-25,0.918559140127345,0.913531788054749,0.896045579953887,0.927058725928017,0.921398534281167,0.0344541119987104,0.924958762895408,0.944581744201787,0.996645173650648
Austria,2020-11-26,0.9173921147676936,0.911593789262606,0.891002668741292,0.925380213221423,0.9207367768439755,0.0328547638991455,0.92454598083781,0.9424858610924185,0.9938797216397375
Austria,2020-11-27,0.916068040198874,0.909487512367783,0.886903630483569,0.923998434459534,0.920006659539139,0.0321067578347478,0.924198960237513,0.94025788492589,0.991384049704391
Austria,2020-11-28,0.9155797227211215,0.9088227499613954,0.8840529122149605,0.9207683261799795,0.9188808845435821,0.0311576608621276,0.922285194202518,0.935904617546464,0.986145949746214
