country,date,lower_20,lower_50,lower_90,mean,median,sd,upper_20,upper_50,upper_90,location
Austria,2020-11-15,-0.00620964585511327,-0.0125302953171498,-0.0220940823575164,0.00350818300782017,-0.00107816196078572,0.0214330823046148,0.00513257348238373,0.0159939716900069,0.0439736982940308,AT
Austria,2020-11-16,-0.009259890825032705,-0.01500505151246605,-0.02280603907467595,2.433926537235801e-4,-0.004185903725265275,0.01985447370250145,0.0015860993765526702,0.01208296687869819,0.0379208858195756,AT
Austria,2020-11-17,-0.0120308956899281,-0.0174652102779366,-0.0234593872051002,-0.00281290941231993,-0.00722328241432392,0.0184452102242325,-0.00136439549083566,0.00860466523213839,0.0316310898932944,AT
Austria,2020-11-18,-0.01497424271174275,-0.0191738219785423,-0.024337579487339153,-0.00725432220636461,-0.011462554774527324,0.01581096693899895,-0.007222816336922086,0.001423837140136025,0.023141510806226652,AT
Austria,2020-11-19,-0.018189264525585,-0.0208977643005117,-0.0251461431134651,-0.0114983611676161,-0.0158217373641861,0.013418082087935,-0.0128024757846196,-0.00511442420133666,0.0153000394622937,AT
Austria,2020-11-20,-0.019316692265403,-0.0214909722497156,-0.02553921548976775,-0.013851379989813799,-0.0174147276590235,0.012025197708489751,-0.014959432393110851,-0.00893248304681903,0.01012337491029653,AT
Austria,2020-11-21,-0.0205440150980684,-0.0221303840115649,-0.0260722739942195,-0.0161477477075826,-0.0192272565891558,0.0109844661738696,-0.017188830797467,-0.0126359772656194,0.00576957845318019,AT
Austria,2020-11-22,-0.0209891977294571,-0.0224706952888085,-0.0263780791301274,-0.0166927972139348,-0.01974238874485845,0.01088543711140685,-0.01795689356919995,-0.013453039902994849,0.00378065141879428,AT
Austria,2020-11-23,-0.0214450376094035,-0.0228027804089144,-0.0267620532711398,-0.0172043814812957,-0.0201873221146475,0.0106095555044838,-0.0186646139093462,-0.0144101851543809,0.00184932439819508,AT
Austria,2020-11-24,-0.0220788732071783,-0.02346501587615265,-0.02795463187233305,-0.01836859528057725,-0.0210296318222314,0.0101884575913666,-0.01978390348496385,-0.014623488799767,0.0010899732799601151,AT
Austria,2020-11-25,-0.0227198539739593,-0.0241073714008355,-0.0291400432726696,-0.0203834808718024,-0.0218647170104646,0.00970610667381847,-0.0209146037577831,-0.0153837622500106,-9.3307679947595e-4,AT
Austria,2020-11-26,-0.023029063290186197,-0.02465658456240645,-0.030567790606674,-0.02077819315311925,-0.02203754109907895,0.009242271516178135,-0.02098550308108125,-0.01590253711314025,-0.001684486976031735,AT
Austria,2020-11-27,-0.0233621132543582,-0.0252542034555192,-0.0317409813276997,-0.0211626958317257,-0.0222352014942076,0.00901789519743666,-0.0211060708589158,-0.016596317259344,-0.0023989582551713,AT
Austria,2020-11-28,-0.023485096033521398,-0.0254005101242303,-0.0325221712282877,-0.0220627668217186,-0.0225429545498232,0.00868484361975785,-0.02163301127605905,-0.017802159659451103,-0.00386349265730382,AT
Austria,2020-11-29,-0.0235823673433329,-0.0256036320449174,-0.0333173363347421,-0.022885174302799,-0.022819405692573,0.00815141093526977,-0.0220754406271082,-0.0190778140249942,-0.00495294567260823,AT
Austria,2020-11-30,-0.02456937865114515,-0.0269589476923609,-0.0350068671404613,-0.02356153521241705,-0.0234357243186335,0.00803177067797213,-0.0223452900945494,-0.01978692013966405,-0.005387188548011595,AT
Austria,2020-12-01,-0.0256562385806381,-0.0283805942785338,-0.0366528324673006,-0.024684502137373,-0.0242208573802114,0.00805297252913742,-0.0227525205866637,-0.0208929892867577,-0.00597183341444781,AT
Austria,2020-12-02,-0.0261023318271577,-0.0289924226819467,-0.03726983865967,-0.02513895111978915,-0.0245274045234918,0.007896947658397576,-0.02315636985560545,-0.02137626928930035,-0.008640971826770264,AT
Austria,2020-12-03,-0.0266039660586693,-0.0296643864615994,-0.0377332025392372,-0.0256637259864651,-0.0248921774487771,0.00804626280850118,-0.0235061756147982,-0.0218678203466734,-0.0110964833713618,AT
Austria,2020-12-04,-0.0282491044721575,-0.0314382715265733,-0.0403824181756184,-0.027488842936537798,-0.02649076726662265,0.008015443811997671,-0.025038938045242702,-0.02285188819629545,-0.01342977202497405,AT
Austria,2020-12-05,-0.0298546100340462,-0.0331639958038273,-0.0432547922544482,-0.028972868765362,-0.0277991190499831,0.00810000772277935,-0.0261298677754723,-0.0237015885414938,-0.0150942708572897,AT
Austria,2020-12-06,-0.030874700781392053,-0.034359237530285,-0.044256954211542146,-0.029679070303120753,-0.0288186349072746,0.00821736004668332,-0.026988952665176348,-0.02426367912107545,-0.017424649586537402,AT
Austria,2020-12-07,-0.0321635360628871,-0.0358720946044869,-0.0455924418740015,-0.0306983915175518,-0.0300157049641353,0.00841912259756059,-0.0280978021582695,-0.0250800780230107,-0.0185101920855093,AT
Austria,2020-12-08,-0.032461815171935,-0.0361629855483549,-0.0458173422281486,-0.0310796445536218,-0.0302861253901633,0.00849774267978221,-0.0283977111358166,-0.0253561839997788,-0.0196463019341644,AT
Austria,2020-12-09,-0.03332967434482055,-0.037024392778245,-0.04680326094624305,-0.03199251715661745,-0.0312531470344842,0.008742670168903855,-0.02926189531388325,-0.0262364823558471,-0.0203228883142132,AT
Austria,2020-12-10,-0.0341218112567856,-0.0379926701435422,-0.0481286235325828,-0.0328600087388776,-0.0319696922434352,0.00902218370862948,-0.0300266209881337,-0.0269056956700375,-0.0205761211255495,AT
Austria,2020-12-11,-0.03490127640211145,-0.0390264400038613,-0.04970242947019775,-0.03371626083068205,-0.03271035530955245,0.00942087390899956,-0.03062713601427825,-0.0275185324921518,-0.021140269411106853,AT
Austria,2020-12-12,-0.0355216002116767,-0.0397072676755174,-0.0511079183798948,-0.0344039950638598,-0.0332402361206775,0.00988389509640256,-0.0311142491780512,-0.0279842954021336,-0.0214975694258993,AT
Austria,2020-12-13,-0.036759134307406696,-0.04103351439712925,-0.05346840587814105,-0.03560258635224915,-0.0343172394468015,0.01000816568211621,-0.0322656966020633,-0.02899566625232125,-0.0222437899004099,AT
Austria,2020-12-14,-0.0377748088321182,-0.0420006690795787,-0.0543678878745797,-0.0365078191465512,-0.0352722685070723,0.0102540363481084,-0.0330974431368065,-0.0295598508364724,-0.0227670828843485,AT
Austria,2020-12-15,-0.03746973705657685,-0.041864501400102255,-0.05518604220204165,-0.0363991981727456,-0.0350373191773374,0.0103623835311608,-0.0327936264252634,-0.029304812388277403,-0.021662959943174152,AT
Austria,2020-12-16,-0.0369577700715849,-0.0413950272552288,-0.0554134381111998,-0.0360789626256634,-0.0345006607468085,0.010536087247751,-0.0322450509971416,-0.0279847491206773,-0.0206096315717341,AT
Austria,2020-12-17,-0.0361475192384456,-0.0406966416848072,-0.05434983146725905,-0.03455328866120695,-0.03292932994778395,0.0105751240999444,-0.03074067819281225,-0.02645125506362065,-0.0198703094984208,AT
Austria,2020-12-18,-0.0344356101335773,-0.0390738134766248,-0.0528162137051789,-0.0328704392387659,-0.0312315594971748,0.0104238561854155,-0.0291731126435474,-0.0249538754697016,-0.0195960233036653,AT
Austria,2020-12-19,-0.032525405316786,-0.03705496166218785,-0.051473054905803145,-0.03099146411147715,-0.0290985440986474,0.0101698039282287,-0.02719229177909465,-0.0237996472991626,-0.018770888986532,AT
Austria,2020-12-20,-0.0306962200104233,-0.0350082484218007,-0.0489512703209753,-0.0289813045822455,-0.0273004176481489,0.0098737955452614,-0.0255670199060072,-0.0228528329488264,-0.0183933651581113,AT
Austria,2020-12-21,-0.028489826118326247,-0.0327684025938392,-0.046208006222780595,-0.0274858182441651,-0.0260214973507529,0.009621403955823575,-0.024475635776194,-0.0220848211466886,-0.01773483633327325,AT
Austria,2020-12-22,-0.0266733405013873,-0.0299637095741504,-0.0436049642570414,-0.0261964957197703,-0.0248314633671172,0.00936418982778975,-0.0235035799185366,-0.0211697539794538,-0.0164064269663385,AT
Austria,2020-12-23,-0.025373304081682597,-0.02846621458641225,-0.04109626522408935,-0.0247154720021396,-0.023783560134833452,0.009190174131468401,-0.02243415275355405,-0.02055221676287355,-0.01367791793758325,AT
Austria,2020-12-24,-0.0241852592369009,-0.0271204742092181,-0.0380874706928317,-0.0229495363251123,-0.0227686179029629,0.00906916687322244,-0.0214932430997761,-0.0193013644766438,-0.010595882056064,AT
Austria,2020-12-25,-0.0230225210315132,-0.02562979365040085,-0.0352600649176094,-0.021585197633930298,-0.02188773152926525,0.009229516021424921,-0.0200249740461686,-0.016916483860982448,-0.00701475248620567,AT
Austria,2020-12-26,-0.0220551750955578,-0.0242618185612478,-0.0326789174806344,-0.0190638572935922,-0.0197626336541272,0.00975318976962687,-0.0171809450445425,-0.0135978702422356,-0.00380869076401503,AT
Austria,2020-12-27,-0.0196830256415233,-0.0233923729806981,-0.0300186516943233,-0.016977573231551,-0.0173267959132557,0.00977423183568827,-0.014945198942663551,-0.01103637380768665,-8.79660002185005e-4,AT
Austria,2020-12-28,-0.0177801127915419,-0.0220140077964358,-0.0279884825435229,-0.0149501193576952,-0.0154054417207525,0.00968816714677396,-0.0132513477258594,-0.00893377929127184,0.00212854132546383,AT
Austria,2020-12-29,-0.01663789615424155,-0.02069467925996555,-0.026723407929100648,-0.01325121279361045,-0.0140522855739525,0.009828202923076165,-0.0114042159938686,-0.0070149478213043254,0.00406648005024048,AT
Austria,2020-12-30,-0.0150155786294439,-0.0188943761108269,-0.0260719105658206,-0.0118258154466269,-0.012740442103586,0.0100715641948628,-0.0103787881643014,-0.00551812125281087,0.00562687357539792,AT
Austria,2020-12-31,-0.01502388933948685,-0.018861882693181897,-0.02547864703140815,-0.01213835863358775,-0.0125741095458823,0.01034962558443555,-0.00995209030425315,-0.004934527388494245,0.0068240321559678695,AT
Austria,2021-01-01,-0.0159277509072854,-0.0195049009702823,-0.0253822363236907,-0.0118327562252135,-0.0135003984223624,0.0106325788628334,-0.0109006312997913,-0.00525041904923715,0.00673162319491925,AT
Austria,2021-01-02,-0.015747219185658648,-0.0193357167159568,-0.025227352303996052,-0.01184474636645235,-0.0132914704500332,0.0108374104766981,-0.0106793709570809,-0.005839802733563585,0.0073306770873129545,AT
Austria,2021-01-03,-0.015964976592943,-0.0195247508973391,-0.0252114846124016,-0.0119725917656059,-0.013235945895502201,0.011063008739465,-0.0106355244465474,-0.00656429301386502,0.00752893617510227,AT
Austria,2021-01-04,-0.016083940712126148,-0.0196098804353891,-0.02512183795333125,-0.0124657351600841,-0.013760414121230649,0.0112798347226108,-0.011440340292426701,-0.00692888870198027,0.00834027641446125,AT
