model,location,scale,rel_wis
EuroCOVIDhub-baseline,AT,log,1.8016478855797338
EuroCOVIDhub-ensemble,AT,log,1
IEM_Health-CovidProject,AT,log,1.45671132223895
ILM-EKF,AT,log,1.1952728239444683
Imperial-DeCa,AT,log,1.4656707453972713
Imperial-RtI0,AT,log,1.483000144070282
Imperial-sbkp,AT,log,1.5078619436069738
JBUD-HMXK,AT,log,1.3902900304232597
Karlen-pypm,AT,log,1.1162548076994607
LANL-GrowthRate,AT,log,1.6573672548537826
MUNI-ARIMA,AT,log,1.6366173431470563
MUNI-LaggedRegARIMA,AT,log,1.039127291646682
MUNI-VAR,AT,log,1.0951725199289644
RobertWalraven-ESG,AT,log,1.6007387400193396
SDSC_ISG-TrendModel,AT,log,1.4506880453717845
UMass-MechBayes,AT,log,1.1665511041599985
UMass-SemiMech,AT,log,1.1259686901558332
USC-SIkJalpha,AT,log,1.070551516173124
bisop-seirfilterlite,AT,log,3.3134706558448
epiforecasts-EpiExpert,AT,log,1.4119752947192863
epiforecasts-EpiExpert_Rt,AT,log,1.4388695565830703
epiforecasts-EpiExpert_direct,AT,log,1.6697913196759482
epiforecasts-EpiNow2,AT,log,1.2710080569385507
EuroCOVIDhub-baseline,AT,natural,1.8838840811178454
EuroCOVIDhub-ensemble,AT,natural,1
IEM_Health-CovidProject,AT,natural,1.6893914829233698
ILM-EKF,AT,natural,1.4944633159434433
Imperial-DeCa,AT,natural,1.693462581433486
Imperial-RtI0,AT,natural,1.5496547840475798
Imperial-sbkp,AT,natural,1.6131333603007039
JBUD-HMXK,AT,natural,1.4447418713267395
Karlen-pypm,AT,natural,1.0151407338507055
LANL-GrowthRate,AT,natural,1.5887626491864264
MUNI-ARIMA,AT,natural,1.3207623395703265
MUNI-LaggedRegARIMA,AT,natural,0.8359588672212774
MUNI-VAR,AT,natural,1.3545382533878048
RobertWalraven-ESG,AT,natural,1.310928936531448
SDSC_ISG-TrendModel,AT,natural,1.4042666510646258
UMass-MechBayes,AT,natural,1.0843797565881494
UMass-SemiMech,AT,natural,1.09834252182269
USC-SIkJalpha,AT,natural,1.1129126241988236
bisop-seirfilterlite,AT,natural,2.788902489720693
epiforecasts-EpiExpert,AT,natural,1.5155965053636353
epiforecasts-EpiExpert_Rt,AT,natural,1.5514654370378769
epiforecasts-EpiExpert_direct,AT,natural,1.8877296898862248
epiforecasts-EpiNow2,AT,natural,1.1765797910692783
EuroCOVIDhub-baseline,BE,log,1.7094575952428983
EuroCOVIDhub-ensemble,BE,log,1
IEM_Health-CovidProject,BE,log,1.4907891213866749
