model,target_end_date,scale,rel_wis
IEM_Health-CovidProject,2021-03-20,log,2.23813910389149
ILM-EKF,2021-03-20,log,1.503075464066477
ITWW-county_repro,2021-03-20,log,1.8321556478785996
Imperial-DeCa,2021-03-20,log,1.841625773363041
Imperial-RtI0,2021-03-20,log,1.7093706964739979
Imperial-sbkp,2021-03-20,log,1.3649103768086925
Karlen-pypm,2021-03-20,log,1.541742592033103
LANL-GrowthRate,2021-03-20,log,1.1272652850401077
MIMUW-StochSEIR,2021-03-20,log,0.5762364386501735
MIT_CovidAnalytics-DELPHI,2021-03-20,log,2.3323371673229447
MOCOS-agent1,2021-03-20,log,0.5996372316253049
MUNI_DMS-SEIAR,2021-03-20,log,2.2425811888420712
RobertWalraven-ESG,2021-03-20,log,1.8372455722863563
USC-SIkJalpha,2021-03-20,log,1.4844277836319253
epiforecasts-EpiExpert,2021-03-20,log,1.237196364139934
epiforecasts-EpiNow2,2021-03-20,log,2.045267156956948
itwm-dSEIR,2021-03-20,log,1.0333590172566791
EuroCOVIDhub-baseline,2021-03-20,natural,1.8774447078256167
EuroCOVIDhub-ensemble,2021-03-20,natural,1
FIAS_FZJ-Epi1Ger,2021-03-20,natural,4.826358109973446
ICM-agentModel,2021-03-20,natural,4.051083546531375
IEM_Health-CovidProject,2021-03-20,natural,2.065035234189398
ILM-EKF,2021-03-20,natural,1.4960162126912449
ITWW-county_repro,2021-03-20,natural,2.168454054724389
Imperial-DeCa,2021-03-20,natural,1.5933058221079268
Imperial-RtI0,2021-03-20,natural,1.380085040074233
Imperial-sbkp,2021-03-20,natural,1.0950090290880756
Karlen-pypm,2021-03-20,natural,1.647374944069212
LANL-GrowthRate,2021-03-20,natural,1.0527153927267259
MIMUW-StochSEIR,2021-03-20,natural,0.5727297557996259
MIT_CovidAnalytics-DELPHI,2021-03-20,natural,2.249477617529224
MOCOS-agent1,2021-03-20,natural,0.6012773045384716
MUNI_DMS-SEIAR,2021-03-20,natural,2.180046650055983
RobertWalraven-ESG,2021-03-20,natural,1.852766996950311
USC-SIkJalpha,2021-03-20,natural,1.6348640843204612
epiforecasts-EpiExpert,2021-03-20,natural,1.2584970403242757
epiforecasts-EpiNow2,2021-03-20,natural,2.4631853661132603
itwm-dSEIR,2021-03-20,natural,1.0599705679171885
EuroCOVIDhub-baseline,2021-03-27,log,1.5591115260595754
EuroCOVIDhub-ensemble,2021-03-27,log,1
FIAS_FZJ-Epi1Ger,2021-03-27,log,3.911696404935329
ICM-agentModel,2021-03-27,log,4.083379271526964
IEM_Health-CovidProject,2021-03-27,log,2.2883261035770848
ILM-EKF,2021-03-27,log,1.4150339412121085
ITWW-county_repro,2021-03-27,log,1.1602981725046477
Imperial-DeCa,2021-03-27,log,1.4387517063446034
Imperial-RtI0,2021-03-27,log,1.3171396496038597
Imperial-sbkp,2021-03-27,log,1.294848650225412
Karlen-pypm,2021-03-27,log,1.62148104080339
LANL-GrowthRate,2021-03-27,log,1.1037947172147335
MIMUW-StochSEIR,2021-03-27,log,0.4974481880632182
MIT_CovidAnalytics-DELPHI,2021-03-27,log,2.611474833427082
MOCOS-agent1,2021-03-27,log,0.683070191709705
MUNI_DMS-SEIAR,2021-03-27,log,1.236703844193748
RobertWalraven-ESG,2021-03-27,log,2.1639546881541616
USC-SIkJalpha,2021-03-27,log,1.3542839412571357
UpgUmibUsi-MultiBayes,2021-03-27,log,2.0062045533401873
epiforecasts-EpiExpert,2021-03-27,log,1.4390957243502052
epiforecasts-EpiNow2,2021-03-27,log,1.6948967229405405
itwm-dSEIR,2021-03-27,log,0.6783325415371274
EuroCOVIDhub-baseline,2021-03-27,natural,1.5186067755254002
EuroCOVIDhub-ensemble,2021-03-27,natural,1
FIAS_FZJ-Epi1Ger,2021-03-27,natural,4.446983621983715
ICM-agentModel,2021-03-27,natural,4.134532452053908
IEM_Health-CovidProject,2021-03-27,natural,1.7309558824317655
ILM-EKF,2021-03-27,natural,1.4525057492350786
ITWW-county_repro,2021-03-27,natural,1.3787635382707768
Imperial-DeCa,2021-03-27,natural,1.1250621635956968
Imperial-RtI0,2021-03-27,natural,0.9715375711386005
Imperial-sbkp,2021-03-27,natural,0.8758599460358693
Karlen-pypm,2021-03-27,natural,1.6775424467375037
LANL-GrowthRate,2021-03-27,natural,1.0686664990187547
MIMUW-StochSEIR,2021-03-27,natural,0.4591492525194909
MIT_CovidAnalytics-DELPHI,2021-03-27,natural,2.404998017223999
MOCOS-agent1,2021-03-27,natural,0.658017395506497
MUNI_DMS-SEIAR,2021-03-27,natural,1.0117443755413675
RobertWalraven-ESG,2021-03-27,natural,1.7841437291201352
USC-SIkJalpha,2021-03-27,natural,1.3650392829191258
UpgUmibUsi-MultiBayes,2021-03-27,natural,1.7466712226895145
epiforecasts-EpiExpert,2021-03-27,natural,1.4394049621058365
epiforecasts-EpiNow2,2021-03-27,natural,1.8623872372945736
itwm-dSEIR,2021-03-27,natural,0.6348898182815959
EuroCOVIDhub-baseline,2021-04-03,log,1.5207165764289243
EuroCOVIDhub-ensemble,2021-04-03,log,1
FIAS_FZJ-Epi1Ger,2021-04-03,log,2.533022579297097
ICM-agentModel,2021-04-03,log,3.0514813639802245
IEM_Health-CovidProject,2021-04-03,log,2.1372641133371233
ILM-EKF,2021-04-03,log,1.5946286458293821
ITWW-county_repro,2021-04-03,log,1.5492466890821148
Imperial-DeCa,2021-04-03,log,1.521695419273142
Imperial-RtI0,2021-04-03,log,0.9364017793411115
Imperial-sbkp,2021-04-03,log,1.1781546572342299
Karlen-pypm,2021-04-03,log,2.0301744269568567
LANL-GrowthRate,2021-04-03,log,1.0150092299803697
LeipzigIMISE-SECIR,2021-04-03,log,1.5426612298705524
MIMUW-StochSEIR,2021-04-03,log,0.7158527157604637
MIT_CovidAnalytics-DELPHI,2021-04-03,log,1.7348260977268875
MOCOS-agent1,2021-04-03,log,0.5554373373196139
MUNI_DMS-SEIAR,2021-04-03,log,0.8232631098956432
RobertWalraven-ESG,2021-04-03,log,1.892441765765891
UMass-MechBayes,2021-04-03,log,1.37048567200349
UMass-SemiMech,2021-04-03,log,1.37048567200349
UNED-PreCoV2,2021-04-03,log,0.36572599281848006
USC-SIkJalpha,2021-04-03,log,1.365819841228952
UpgUmibUsi-MultiBayes,2021-04-03,log,2.0710152452712522
bisop-seirfilter,2021-04-03,log,1.1205781326473112
epiforecasts-EpiExpert,2021-04-03,log,1.2342739910003309
epiforecasts-EpiNow2,2021-04-03,log,1.7813156582817231
itwm-dSEIR,2021-04-03,log,1.5388434885055304
EuroCOVIDhub-baseline,2021-04-03,natural,1.6095801065459956
EuroCOVIDhub-ensemble,2021-04-03,natural,1
FIAS_FZJ-Epi1Ger,2021-04-03,natural,2.9624425911122345
ICM-agentModel,2021-04-03,natural,3.1592024530170084
IEM_Health-CovidProject,2021-04-03,natural,1.6213122721600775
ILM-EKF,2021-04-03,natural,2.084096154963269
ITWW-county_repro,2021-04-03,natural,1.815791865336498
Imperial-DeCa,2021-04-03,natural,1.208146770671018
Imperial-RtI0,2021-04-03,natural,0.6271152540689761
Imperial-sbkp,2021-04-03,natural,0.9264012219335004
Karlen-pypm,2021-04-03,natural,2.270234437274511
LANL-GrowthRate,2021-04-03,natural,0.9018928801862078
LeipzigIMISE-SECIR,2021-04-03,natural,1.6134590662312087
MIMUW-StochSEIR,2021-04-03,natural,0.679655058877571
MIT_CovidAnalytics-DELPHI,2021-04-03,natural,1.5741126817522242
MOCOS-agent1,2021-04-03,natural,0.5817360994533002
MUNI_DMS-SEIAR,2021-04-03,natural,0.6208862266047467
RobertWalraven-ESG,2021-04-03,natural,1.4881720687892879
UMass-MechBayes,2021-04-03,natural,1.5379882223478916
UMass-SemiMech,2021-04-03,natural,1.5379882223478916
UNED-PreCoV2,2021-04-03,natural,0.3539007862521472
USC-SIkJalpha,2021-04-03,natural,1.4941788828109253
UpgUmibUsi-MultiBayes,2021-04-03,natural,1.9373936604370918
bisop-seirfilter,2021-04-03,natural,1.0344894931764248
epiforecasts-EpiExpert,2021-04-03,natural,1.2016546743694858
epiforecasts-EpiNow2,2021-04-03,natural,2.3301651447078453
itwm-dSEIR,2021-04-03,natural,1.5763968752425475
EuroCOVIDhub-baseline,2021-04-10,log,1.5134580900919314
EuroCOVIDhub-ensemble,2021-04-10,log,1
FIAS_FZJ-Epi1Ger,2021-04-10,log,1.7732947581779974
ICM-agentModel,2021-04-10,log,2.241137543072503
IEM_Health-CovidProject,2021-04-10,log,2.1841014702264494
ILM-EKF,2021-04-10,log,1.5519757294833576
ITWW-county_repro,2021-04-10,log,1.5009639469087819
Karlen-pypm,2021-04-10,log,1.2642058899349298
LANL-GrowthRate,2021-04-10,log,1.5183185872651992
LeipzigIMISE-SECIR,2021-04-10,log,1.6516873098833542
MIMUW-StochSEIR,2021-04-10,log,1.1688976716886643
MIT_CovidAnalytics-DELPHI,2021-04-10,log,1.3556161693459636
MOCOS-agent1,2021-04-10,log,0.4642589136773427
MUNI_DMS-SEIAR,2021-04-10,log,0.4901626390500881
RobertWalraven-ESG,2021-04-10,log,1.8837013150061688
UMass-MechBayes,2021-04-10,log,1.5752043857802518
UMass-SemiMech,2021-04-10,log,1.5108086527377118
UNED-PreCoV2,2021-04-10,log,0.7489826148296873
USC-SIkJalpha,2021-04-10,log,1.2213948813529925
UpgUmibUsi-MultiBayes,2021-04-10,log,3.0960860876921887
bisop-seirfilter,2021-04-10,log,1.7302439199424258
bisop-seirfilterlite,2021-04-10,log,2.375121356390248
epiforecasts-EpiExpert,2021-04-10,log,1.2475016806869519
epiforecasts-EpiNow2,2021-04-10,log,1.7700366416419608
itwm-dSEIR,2021-04-10,log,1.0486275348969794
EuroCOVIDhub-baseline,2021-04-10,natural,1.485155540935432
EuroCOVIDhub-ensemble,2021-04-10,natural,1
FIAS_FZJ-Epi1Ger,2021-04-10,natural,2.4693254216087492
ICM-agentModel,2021-04-10,natural,2.804270792013664
IEM_Health-CovidProject,2021-04-10,natural,1.7851588281590343
ILM-EKF,2021-04-10,natural,2.083320249519809
ITWW-county_repro,2021-04-10,natural,1.9548257656424783
Karlen-pypm,2021-04-10,natural,1.6001147598123413
LANL-GrowthRate,2021-04-10,natural,1.4550813855117168
LeipzigIMISE-SECIR,2021-04-10,natural,2.125036470281627
MIMUW-StochSEIR,2021-04-10,natural,1.18679837241195
MIT_CovidAnalytics-DELPHI,2021-04-10,natural,1.3507596626563614
MOCOS-agent1,2021-04-10,natural,0.5379760780565146
MUNI_DMS-SEIAR,2021-04-10,natural,0.42934741042218394
RobertWalraven-ESG,2021-04-10,natural,1.6274800240157636
UMass-MechBayes,2021-04-10,natural,1.6613149982216935
UMass-SemiMech,2021-04-10,natural,1.4624302981487165
UNED-PreCoV2,2021-04-10,natural,0.6397445434900332
USC-SIkJalpha,2021-04-10,natural,1.3339870740014657
UpgUmibUsi-MultiBayes,2021-04-10,natural,3.2247861468378414
bisop-seirfilter,2021-04-10,natural,1.986417982011612
bisop-seirfilterlite,2021-04-10,natural,2.5731278643074056
epiforecasts-EpiExpert,2021-04-10,natural,1.2447011156993961
epiforecasts-EpiNow2,2021-04-10,natural,2.4170583854166936
itwm-dSEIR,2021-04-10,natural,1.2704342939490765
EuroCOVIDhub-baseline,2021-04-17,log,1.7545933371565536
EuroCOVIDhub-ensemble,2021-04-17,log,1
FIAS_FZJ-Epi1Ger,2021-04-17,log,2.022804855177111
ICM-agentModel,2021-04-17,log,1.957277944167071
IEM_Health-CovidProject,2021-04-17,log,2.3717548515082187
ILM-EKF,2021-04-17,log,1.486740177779965
ITWW-county_repro,2021-04-17,log,2.0227025758804658
Imperial-DeCa,2021-04-17,log,3.244079872099851
Imperial-RtI0,2021-04-17,log,3.240927715723402
Imperial-sbkp,2021-04-17,log,1.7584594361032166
Karlen-pypm,2021-04-17,log,1.1826861870267298
LANL-GrowthRate,2021-04-17,log,1.6547141295180225
LeipzigIMISE-SECIR,2021-04-17,log,1.86666240644583
MIMUW-StochSEIR,2021-04-17,log,0.9918228678127731
MIT_CovidAnalytics-DELPHI,2021-04-17,log,1.3547200951820877
MOCOS-agent1,2021-04-17,log,0.4703281770634047
MUNI_DMS-SEIAR,2021-04-17,log,1.4756269529269794
RobertWalraven-ESG,2021-04-17,log,2.0744231163159594
UMass-MechBayes,2021-04-17,log,1.4378717556482696
UMass-SemiMech,2021-04-17,log,1.4932274388211888
UNED-PreCoV2,2021-04-17,log,0.7832338278581353
USC-SIkJalpha,2021-04-17,log,1.3341157458898905
UpgUmibUsi-MultiBayes,2021-04-17,log,2.6359236937072614
bisop-seirfilter,2021-04-17,log,1.6377994973577776
bisop-seirfilterlite,2021-04-17,log,2.6641288322574717
epiforecasts-EpiExpert,2021-04-17,log,1.3604196824315353
epiforecasts-EpiNow2,2021-04-17,log,1.6047080773690476
itwm-dSEIR,2021-04-17,log,0.9497548397936866
EuroCOVIDhub-baseline,2021-04-17,natural,1.5594309471657561
EuroCOVIDhub-ensemble,2021-04-17,natural,1
FIAS_FZJ-Epi1Ger,2021-04-17,natural,2.4529150439965504
ICM-agentModel,2021-04-17,natural,2.226191781950981
IEM_Health-CovidProject,2021-04-17,natural,1.9955149268332777
ILM-EKF,2021-04-17,natural,1.9282775694038867
ITWW-county_repro,2021-04-17,natural,2.3547833775501896
Imperial-DeCa,2021-04-17,natural,3.2989992280679727
Imperial-RtI0,2021-04-17,natural,3.37349106635706
Imperial-sbkp,2021-04-17,natural,1.8775053192973452
Karlen-pypm,2021-04-17,natural,1.48266024120483
LANL-GrowthRate,2021-04-17,natural,1.5590958575478229
LeipzigIMISE-SECIR,2021-04-17,natural,2.402676224116652
MIMUW-StochSEIR,2021-04-17,natural,1.0383294849221152
MIT_CovidAnalytics-DELPHI,2021-04-17,natural,1.1594841943208
MOCOS-agent1,2021-04-17,natural,0.4614067715299427
MUNI_DMS-SEIAR,2021-04-17,natural,1.636039630595649
RobertWalraven-ESG,2021-04-17,natural,1.6152719128493613
UMass-MechBayes,2021-04-17,natural,1.52606422095272
UMass-SemiMech,2021-04-17,natural,1.6720977203951088
UNED-PreCoV2,2021-04-17,natural,0.9141133310831185
USC-SIkJalpha,2021-04-17,natural,1.475887584669327
UpgUmibUsi-MultiBayes,2021-04-17,natural,2.4647134902094048
bisop-seirfilter,2021-04-17,natural,1.7516983382705247
bisop-seirfilterlite,2021-04-17,natural,2.85296919103372
epiforecasts-EpiExpert,2021-04-17,natural,1.2741709434358122
epiforecasts-EpiNow2,2021-04-17,natural,2.004695987773248
itwm-dSEIR,2021-04-17,natural,1.1741514441821461
EuroCOVIDhub-baseline,2021-04-24,log,1.4638873152907756
EuroCOVIDhub-ensemble,2021-04-24,log,1
FIAS_FZJ-Epi1Ger,2021-04-24,log,1.719344989393525
ICM-agentModel,2021-04-24,log,1.9443670960413475
IEM_Health-CovidProject,2021-04-24,log,1.883220425932678
ILM-EKF,2021-04-24,log,1.3522484319964247
ITWW-county_repro,2021-04-24,log,2.288143683867524
Imperial-DeCa,2021-04-24,log,1.933794681493985
Imperial-RtI0,2021-04-24,log,1.9123648463970784
Imperial-sbkp,2021-04-24,log,2.8500920859062964
Karlen-pypm,2021-04-24,log,1.024656055506067
LANL-GrowthRate,2021-04-24,log,1.5612796273436602
LeipzigIMISE-SECIR,2021-04-24,log,1.8541717070943757
MIMUW-StochSEIR,2021-04-24,log,0.9713954355450255
MIT_CovidAnalytics-DELPHI,2021-04-24,log,1.15175015588276
MOCOS-agent1,2021-04-24,log,0.9007997814384923
MUNI_DMS-SEIAR,2021-04-24,log,1.572331324873921
RobertWalraven-ESG,2021-04-24,log,1.7750611146360862
UMass-MechBayes,2021-04-24,log,1.4288063457936664
UMass-SemiMech,2021-04-24,log,1.4770910527436438
UNED-PreCoV2,2021-04-24,log,1.0019098244790072
USC-SIkJalpha,2021-04-24,log,1.2428609506942592
UpgUmibUsi-MultiBayes,2021-04-24,log,2.0825269842128025
bisop-seirfilter,2021-04-24,log,2.0273660643506206
bisop-seirfilterlite,2021-04-24,log,2.421488196855807
epiforecasts-EpiExpert,2021-04-24,log,1.2711101458584473
epiforecasts-EpiExpert_Rt,2021-04-24,log,1.2702987874500922
epiforecasts-EpiNow2,2021-04-24,log,1.5793466226999684
itwm-dSEIR,2021-04-24,log,1.1045021050710786
EuroCOVIDhub-baseline,2021-04-24,natural,1.3185473535577534
EuroCOVIDhub-ensemble,2021-04-24,natural,1
FIAS_FZJ-Epi1Ger,2021-04-24,natural,1.9173836358880072
ICM-agentModel,2021-04-24,natural,2.1571519212212675
IEM_Health-CovidProject,2021-04-24,natural,1.9336174650457685
ILM-EKF,2021-04-24,natural,1.7571274115857132
ITWW-county_repro,2021-04-24,natural,2.7218870496497893
Imperial-DeCa,2021-04-24,natural,1.8082617822105855
Imperial-RtI0,2021-04-24,natural,1.234550903394365
Imperial-sbkp,2021-04-24,natural,2.5942065216427976
Karlen-pypm,2021-04-24,natural,1.3422629969739968
LANL-GrowthRate,2021-04-24,natural,1.2438169771612657
LeipzigIMISE-SECIR,2021-04-24,natural,2.6705342246818042
MIMUW-StochSEIR,2021-04-24,natural,0.9690199946705192
MIT_CovidAnalytics-DELPHI,2021-04-24,natural,1.1799152617936688
MOCOS-agent1,2021-04-24,natural,0.8109350130445947
MUNI_DMS-SEIAR,2021-04-24,natural,1.8462904805898372
RobertWalraven-ESG,2021-04-24,natural,1.4950180667400084
UMass-MechBayes,2021-04-24,natural,1.4759710236535772
UMass-SemiMech,2021-04-24,natural,1.6875228097228825
UNED-PreCoV2,2021-04-24,natural,1.537967833062218
USC-SIkJalpha,2021-04-24,natural,1.356860236859542
UpgUmibUsi-MultiBayes,2021-04-24,natural,2.0179907088701894
bisop-seirfilter,2021-04-24,natural,2.1277632391165073
bisop-seirfilterlite,2021-04-24,natural,2.4875823241007153
epiforecasts-EpiExpert,2021-04-24,natural,1.3914102446828687
epiforecasts-EpiExpert_Rt,2021-04-24,natural,1.41323650321148
epiforecasts-EpiNow2,2021-04-24,natural,1.9148275066856564
itwm-dSEIR,2021-04-24,natural,1.4188450642974995
EuroCOVIDhub-baseline,2021-05-01,log,1.8122291950285205
EuroCOVIDhub-ensemble,2021-05-01,log,1
FIAS_FZJ-Epi1Ger,2021-05-01,log,3.61771841950108
HZI-AgeExtendedSEIR,2021-05-01,log,0.2715456162465367
ICM-agentModel,2021-05-01,log,1.5096460205607236
IEM_Health-CovidProject,2021-05-01,log,1.993584030255602
ILM-EKF,2021-05-01,log,1.2865157095977466
ITWW-county_repro,2021-05-01,log,1.8353281612958856
Imperial-DeCa,2021-05-01,log,2.092946475590381
Imperial-RtI0,2021-05-01,log,3.6058082452671787
Imperial-sbkp,2021-05-01,log,2.50174907153073
Karlen-pypm,2021-05-01,log,1.4547518551452456
LANL-GrowthRate,2021-05-01,log,1.48672143128218
LeipzigIMISE-SECIR,2021-05-01,log,1.7496921747153629
MIMUW-StochSEIR,2021-05-01,log,1.9008918522694163
MIT_CovidAnalytics-DELPHI,2021-05-01,log,2.2567075382724155
MOCOS-agent1,2021-05-01,log,0.3936054852012256
MUNI_DMS-SEIAR,2021-05-01,log,2.3950045993374482
RobertWalraven-ESG,2021-05-01,log,1.9672822057272807
UB-BSLCoV,2021-05-01,log,1.8598874637910332
UMass-MechBayes,2021-05-01,log,1.6098942732398196
UMass-SemiMech,2021-05-01,log,1.4975858866952083
UNED-PreCoV2,2021-05-01,log,1.191465006076738
USC-SIkJalpha,2021-05-01,log,1.272820678542754
UpgUmibUsi-MultiBayes,2021-05-01,log,1.6459605271976478
bisop-seirfilter,2021-05-01,log,1.5540178852064237
bisop-seirfilterlite,2021-05-01,log,2.4709290189166393
epiforecasts-EpiExpert,2021-05-01,log,1.4095044221381436
epiforecasts-EpiExpert_Rt,2021-05-01,log,1.095404461495281
epiforecasts-EpiExpert_direct,2021-05-01,log,0.7291152701481609
epiforecasts-EpiNow2,2021-05-01,log,1.295325488049097
itwm-dSEIR,2021-05-01,log,2.0232198200628346
EuroCOVIDhub-baseline,2021-05-01,natural,1.793930110271092
EuroCOVIDhub-ensemble,2021-05-01,natural,1
FIAS_FZJ-Epi1Ger,2021-05-01,natural,4.473370355146276
HZI-AgeExtendedSEIR,2021-05-01,natural,0.28020831257280004
ICM-agentModel,2021-05-01,natural,1.5396850107716338
IEM_Health-CovidProject,2021-05-01,natural,2.3980982937305324
ILM-EKF,2021-05-01,natural,1.3533657838436068
ITWW-county_repro,2021-05-01,natural,1.9483897207674454
Imperial-DeCa,2021-05-01,natural,1.8979078513629952
Imperial-RtI0,2021-05-01,natural,2.8225267154971827
Imperial-sbkp,2021-05-01,natural,2.0488434892933567
Karlen-pypm,2021-05-01,natural,1.7627551743589225
LANL-GrowthRate,2021-05-01,natural,1.2910048254860014
LeipzigIMISE-SECIR,2021-05-01,natural,2.0333299720806752
MIMUW-StochSEIR,2021-05-01,natural,2.061170550964825
MIT_CovidAnalytics-DELPHI,2021-05-01,natural,2.168747186522968
MOCOS-agent1,2021-05-01,natural,0.3515545665280042
MUNI_DMS-SEIAR,2021-05-01,natural,2.9845287082379564
RobertWalraven-ESG,2021-05-01,natural,1.8076603135049012
UB-BSLCoV,2021-05-01,natural,1.829900141227188
UMass-MechBayes,2021-05-01,natural,1.6077897835510666
UMass-SemiMech,2021-05-01,natural,1.6299432888706646
UNED-PreCoV2,2021-05-01,natural,2.019000283940809
USC-SIkJalpha,2021-05-01,natural,1.316302104205618
UpgUmibUsi-MultiBayes,2021-05-01,natural,1.6151136133401787
bisop-seirfilter,2021-05-01,natural,1.7777460794703854
bisop-seirfilterlite,2021-05-01,natural,2.158401853487293
epiforecasts-EpiExpert,2021-05-01,natural,1.658192341713854
epiforecasts-EpiExpert_Rt,2021-05-01,natural,1.1810786354204421
epiforecasts-EpiExpert_direct,2021-05-01,natural,1.0171639717314975
epiforecasts-EpiNow2,2021-05-01,natural,1.3430503207005784
itwm-dSEIR,2021-05-01,natural,2.6997089290005607
EuroCOVIDhub-baseline,2021-05-08,log,1.8609834179394125
EuroCOVIDhub-ensemble,2021-05-08,log,1
FIAS_FZJ-Epi1Ger,2021-05-08,log,2.624646427143592
HZI-AgeExtendedSEIR,2021-05-08,log,0.6082329947411295
ICM-agentModel,2021-05-08,log,0.925341656635632
IEM_Health-CovidProject,2021-05-08,log,1.6216062225705907
ILM-EKF,2021-05-08,log,1.246041454865888
ITWW-county_repro,2021-05-08,log,0.7107141443448819
Karlen-pypm,2021-05-08,log,1.62436049924341
LANL-GrowthRate,2021-05-08,log,1.3014913580085796
LeipzigIMISE-SECIR,2021-05-08,log,1.6082990620451947
MIMUW-StochSEIR,2021-05-08,log,2.4150893943665084
MIT_CovidAnalytics-DELPHI,2021-05-08,log,1.76306622352086
MOCOS-agent1,2021-05-08,log,0.4214048422288072
MUNI-ARIMA,2021-05-08,log,1.3254716792057797
MUNI_DMS-SEIAR,2021-05-08,log,1.707507174419726
RobertWalraven-ESG,2021-05-08,log,1.7890112660381416
UB-BSLCoV,2021-05-08,log,1.467619461539776
UMass-MechBayes,2021-05-08,log,1.3322644550753766
UMass-SemiMech,2021-05-08,log,2.2800367165372317
UNED-PreCoV2,2021-05-08,log,1.1760333118314106
USC-SIkJalpha,2021-05-08,log,1.2622835841802893
UpgUmibUsi-MultiBayes,2021-05-08,log,0.9370327326775336
bisop-seirfilter,2021-05-08,log,0.7447605546181643
bisop-seirfilterlite,2021-05-08,log,1.6849252946339606
epiMOX-SUIHTER,2021-05-08,log,0.20048936502786174
epiforecasts-EpiExpert,2021-05-08,log,1.37978163747916
epiforecasts-EpiExpert_Rt,2021-05-08,log,1.1060687389076982
epiforecasts-EpiExpert_direct,2021-05-08,log,0.8378748782446472
epiforecasts-EpiNow2,2021-05-08,log,1.349671925720657
itwm-dSEIR,2021-05-08,log,1.09577764830156
EuroCOVIDhub-baseline,2021-05-08,natural,2.1685182317618903
EuroCOVIDhub-ensemble,2021-05-08,natural,1
FIAS_FZJ-Epi1Ger,2021-05-08,natural,3.416269710836275
HZI-AgeExtendedSEIR,2021-05-08,natural,0.630864001841938
ICM-agentModel,2021-05-08,natural,0.9315496335758205
IEM_Health-CovidProject,2021-05-08,natural,2.142544023272719
ILM-EKF,2021-05-08,natural,1.232564300593286
ITWW-county_repro,2021-05-08,natural,0.656200521422647
Karlen-pypm,2021-05-08,natural,1.8808517938438447
LANL-GrowthRate,2021-05-08,natural,1.13402672437182
LeipzigIMISE-SECIR,2021-05-08,natural,2.110982487679447
MIMUW-StochSEIR,2021-05-08,natural,2.7766829603068732
MIT_CovidAnalytics-DELPHI,2021-05-08,natural,1.6274082762378195
MOCOS-agent1,2021-05-08,natural,0.3964094506914796
MUNI-ARIMA,2021-05-08,natural,1.3973279148569722
MUNI_DMS-SEIAR,2021-05-08,natural,2.260083707706589
RobertWalraven-ESG,2021-05-08,natural,1.872509926584113
UB-BSLCoV,2021-05-08,natural,1.5207789338639666
UMass-MechBayes,2021-05-08,natural,1.3123838385523592
UMass-SemiMech,2021-05-08,natural,1.537225780021351
UNED-PreCoV2,2021-05-08,natural,1.8462704871338718
USC-SIkJalpha,2021-05-08,natural,1.4139118699900224
UpgUmibUsi-MultiBayes,2021-05-08,natural,1.0010288029276866
bisop-seirfilter,2021-05-08,natural,0.8503789877154457
