model,variant,horizon,rel_wis
epiforecasts-EpiExpert,pre-delta,2,1.074394012829036
epiforecasts-EpiExpert_Rt,pre-delta,2,1.1917553613748897
epiforecasts-EpiExpert_direct,pre-delta,2,0.8775474757881729
epiforecasts-EpiNow2,pre-delta,2,1.1881203982283146
EuroCOVIDhub-baseline,delta dominant,4,2.518230386105453
EuroCOVIDhub-ensemble,delta dominant,4,1
FIAS_FZJ-Epi1Ger,delta dominant,4,1.4994356545014993
HZI-AgeExtendedSEIR,delta dominant,4,0.8880115924786165
ICM-agentModel,delta dominant,4,1.9510430207281046
IEM_Health-CovidProject,delta dominant,4,1.5971953534303454
ILM-EKF,delta dominant,4,1.243052491284733
ITWW-county_repro,delta dominant,4,1.1101258704048216
Karlen-pypm,delta dominant,4,1.4204611002451946
LANL-GrowthRate,delta dominant,4,1.4343362211959139
MIMUW-StochSEIR,delta dominant,4,1.0588242632122873
MIT_CovidAnalytics-DELPHI,delta dominant,4,1.987296464894112
MOCOS-agent1,delta dominant,4,0.8337205054733634
MUNI-ARIMA,delta dominant,4,1.9881714084436477
MUNI-LaggedRegARIMA,delta dominant,4,1.3386261975946705
MUNI-VAR,delta dominant,4,1.8012434076484178
MUNI_DMS-SEIAR,delta dominant,4,1.4712498711409194
RobertWalraven-ESG,delta dominant,4,2.0242980987777566
UB-BSLCoV,delta dominant,4,2.2468091076283154
ULZF-SEIRC19SI,delta dominant,4,1.8039168347337422
UMass-MechBayes,delta dominant,4,1.1601863664528138
UMass-SemiMech,delta dominant,4,0.8719535459101703
USC-SIkJalpha,delta dominant,4,1.1735411873735284
epiforecasts-EpiExpert,delta dominant,4,1.1657638484840753
epiforecasts-EpiExpert_Rt,delta dominant,4,2.0266347298232645
epiforecasts-EpiExpert_direct,delta dominant,4,1.0205712197771246
epiforecasts-EpiNow2,delta dominant,4,1.333365229320725
itwm-dSEIR,delta dominant,4,1.9832684015444217
EuroCOVIDhub-baseline,delta dominant,3,2.7653481782490354
EuroCOVIDhub-ensemble,delta dominant,3,1
FIAS_FZJ-Epi1Ger,delta dominant,3,2.158140883409393
HZI-AgeExtendedSEIR,delta dominant,3,0.8792129483086404
ICM-agentModel,delta dominant,3,2.31918988452614
IEM_Health-CovidProject,delta dominant,3,1.7177346851717934
ILM-EKF,delta dominant,3,1.1510720014741822
ITWW-county_repro,delta dominant,3,1.2924229304216315
Karlen-pypm,delta dominant,3,1.3816096236113162
LANL-GrowthRate,delta dominant,3,1.5137579692999237
MIMUW-StochSEIR,delta dominant,3,1.1259686743491208
MIT_CovidAnalytics-DELPHI,delta dominant,3,1.7343630915624046
MOCOS-agent1,delta dominant,3,0.9271782597119745
MUNI-ARIMA,delta dominant,3,2.064949854284731
MUNI-LaggedRegARIMA,delta dominant,3,1.3354630641885916
MUNI-VAR,delta dominant,3,1.4235129793829673
MUNI_DMS-SEIAR,delta dominant,3,1.561668265963434
RobertWalraven-ESG,delta dominant,3,2.11475375644199
UB-BSLCoV,delta dominant,3,2.1179809846238875
ULZF-SEIRC19SI,delta dominant,3,2.102777056960479
UMass-MechBayes,delta dominant,3,1.163009089164818
UMass-SemiMech,delta dominant,3,0.8578934302315595
UNED-PreCoV2,delta dominant,3,2.6830971695839314
