model,horizon,scale,rel_wis
EuroCOVIDhub-baseline,1,log,1.5404103430223097
EuroCOVIDhub-ensemble,1,log,1
FIAS_FZJ-Epi1Ger,1,log,1.8533947774170678
HZI-AgeExtendedSEIR,1,log,0.9384641433596415
ICM-agentModel,1,log,2.333308974051193
IEM_Health-CovidProject,1,log,1.3920077291283122
ILM-EKF,1,log,1.2631765738602814
ITWW-county_repro,1,log,1.406615055185473
Imperial-DeCa,1,log,1.7521125888690823
Imperial-RtI0,1,log,2.182232929005447
Imperial-sbkp,1,log,1.7965830112229002
JBUD-HMXK,1,log,3.94406567927125
Karlen-pypm,1,log,1.2067803563328625
LANL-GrowthRate,1,log,1.3772181528512486
LeipzigIMISE-SECIR,1,log,1.2226936828729862
MIMUW-StochSEIR,1,log,1.2318167154656203
MIT_CovidAnalytics-DELPHI,1,log,1.5099652010216245
MOCOS-agent1,1,log,0.9690204232021218
MUNI-ARIMA,1,log,1.3415127175603299
MUNI-LaggedRegARIMA,1,log,1.3269429896160607
MUNI-VAR,1,log,1.1324341864437604
MUNI_DMS-SEIAR,1,log,2.411737856840871
RobertWalraven-ESG,1,log,1.4161737878005163
SDSC_ISG-TrendModel,1,log,1.7102928886309248
UB-BSLCoV,1,log,1.259305032718558
ULZF-SEIRC19SI,1,log,1.142225467751705
UMass-MechBayes,1,log,1.291332745364156
UMass-SemiMech,1,log,1.6406750591983144
UNED-PreCoV2,1,log,1.681870797302499
USC-SIkJalpha,1,log,1.3364020627838649
UpgUmibUsi-MultiBayes,1,log,1.222659547262354
bisop-seirfilter,1,log,1.2446267397990465
bisop-seirfilterlite,1,log,2.7410411123662612
epiMOX-SUIHTER,1,log,0.7975497902480362
epiforecasts-EpiExpert,1,log,1.2820546877442187
epiforecasts-EpiExpert_Rt,1,log,1.8309314978554196
epiforecasts-EpiExpert_direct,1,log,1.0364302623561314
epiforecasts-EpiNow2,1,log,1.3686605568979722
itwm-dSEIR,1,log,1.4922749437818348
prolix-euclidean,1,log,2.4623097235597355
EuroCOVIDhub-baseline,1,natural,1.5966313263606893
EuroCOVIDhub-ensemble,1,natural,1
FIAS_FZJ-Epi1Ger,1,natural,2.67164272514458
HZI-AgeExtendedSEIR,1,natural,1.0766114174645076
ICM-agentModel,1,natural,2.4730233875234373
IEM_Health-CovidProject,1,natural,1.6730344561899066
ILM-EKF,1,natural,7.0702256901449605
ITWW-county_repro,1,natural,1.8343117803031252
Imperial-DeCa,1,natural,1.9725966228646918
Imperial-RtI0,1,natural,2.2390400410212012
Imperial-sbkp,1,natural,2.0089216323277563
JBUD-HMXK,1,natural,2.652684165781485
Karlen-pypm,1,natural,1.533512698413189
LANL-GrowthRate,1,natural,1.455403475665735
LeipzigIMISE-SECIR,1,natural,1.4776826627703488
MIMUW-StochSEIR,1,natural,1.6648233947936821
MIT_CovidAnalytics-DELPHI,1,natural,1.7543449644914835
MOCOS-agent1,1,natural,1.058487009057563
MUNI-ARIMA,1,natural,1.333978824049617
MUNI-LaggedRegARIMA,1,natural,1.685279236072297
MUNI-VAR,1,natural,1.4843387423103847
MUNI_DMS-SEIAR,1,natural,2.269510130474383
RobertWalraven-ESG,1,natural,1.4346844869659874
SDSC_ISG-TrendModel,1,natural,1.5056938451258461
UB-BSLCoV,1,natural,2.029449097923432
ULZF-SEIRC19SI,1,natural,1.3598314946501482
UMass-MechBayes,1,natural,1.711971366143123
UMass-SemiMech,1,natural,1.8596997994960545
UNED-PreCoV2,1,natural,1.9573177388256144
USC-SIkJalpha,1,natural,1.4442645677398653
UpgUmibUsi-MultiBayes,1,natural,1.4600928482573525
bisop-seirfilter,1,natural,1.7823076772791624
bisop-seirfilterlite,1,natural,3.5175886491757415
epiMOX-SUIHTER,1,natural,0.8615334911275863
epiforecasts-EpiExpert,1,natural,1.623811511866132
epiforecasts-EpiExpert_Rt,1,natural,2.1761502743296455
epiforecasts-EpiExpert_direct,1,natural,1.3207615435677
epiforecasts-EpiNow2,1,natural,1.6972675984962973
itwm-dSEIR,1,natural,1.6264153689728038
prolix-euclidean,1,natural,1.5859901095974398
EuroCOVIDhub-baseline,2,log,2.0052800194936324
EuroCOVIDhub-ensemble,2,log,1
FIAS_FZJ-Epi1Ger,2,log,1.6425567971579351
HZI-AgeExtendedSEIR,2,log,0.8841569714566124
ICM-agentModel,2,log,2.029073593956912
IEM_Health-CovidProject,2,log,1.619743449505305
ILM-EKF,2,log,1.2353030362053623
ITWW-county_repro,2,log,1.2748822750629323
JBUD-HMXK,2,log,3.172724917960848
Karlen-pypm,2,log,1.2703561577677573
LANL-GrowthRate,2,log,1.4363003935343424
LeipzigIMISE-SECIR,2,log,1.7421797873021072
MIMUW-StochSEIR,2,log,0.7593954057051521
MIT_CovidAnalytics-DELPHI,2,log,1.3708972881124681
MOCOS-agent1,2,log,0.8510173390198204
MUNI-ARIMA,2,log,1.61730100492849
MUNI-LaggedRegARIMA,2,log,1.2585692545344858
MUNI-VAR,2,log,1.3105187401708667
MUNI_DMS-SEIAR,2,log,2.121593634743318
RobertWalraven-ESG,2,log,1.6408099489262025
UB-BSLCoV,2,log,1.7875952636601251
ULZF-SEIRC19SI,2,log,1.081795952038838
UMass-MechBayes,2,log,1.194780249115889
UMass-SemiMech,2,log,1.498498535651899
UNED-PreCoV2,2,log,1.7497234588487678
USC-SIkJalpha,2,log,1.3103174311406411
bisop-seirfilter,2,log,1.1447388537118917
bisop-seirfilterlite,2,log,2.4222791268621005
epiMOX-SUIHTER,2,log,0.640910774656182
epiforecasts-EpiExpert,2,log,1.2972515586098627
epiforecasts-EpiExpert_Rt,2,log,1.6254711874121446
epiforecasts-EpiExpert_direct,2,log,1.113901047639405
epiforecasts-EpiNow2,2,log,1.430724945828336
itwm-dSEIR,2,log,1.3037997153261554
prolix-euclidean,2,log,3.802403753031697
EuroCOVIDhub-baseline,2,natural,1.8470695127654018
EuroCOVIDhub-ensemble,2,natural,1
FIAS_FZJ-Epi1Ger,2,natural,2.7007645478867706
HZI-AgeExtendedSEIR,2,natural,1.1377098515473127
ICM-agentModel,2,natural,2.5554683344433857
IEM_Health-CovidProject,2,natural,2.0774705973081424
ILM-EKF,2,natural,7.681207737012142
ITWW-county_repro,2,natural,1.7413683139480036
JBUD-HMXK,2,natural,2.173972817138263
Karlen-pypm,2,natural,1.7387148525025622
