location,population
BE,11372068
BG,7075991
CZ,10591323
DK,5769603
DE,82695000
EE,1315480
IE,4813608
GR,10760421
ES,46572028
FR,67118648
HR,4125700
IT,60551416
CY,1179551
LV,1940740
LT,2827721
LU,599449
HU,9781127
MT,465292
NL,17132854
AT,8809212
PL,37975841
PT,10293718
RO,19586539
SI,2066748
SK,5439892
FI,5511303
SE,10067744
GB,66022273
IS,341284
LI,37922
NO,5282223
CH,8466017
